Route,Border location,Nationality,JAN2009,FEB2009,MAR2009,APR2009,MAY2009,JUN2009,JUL2009,AUG2009,SEP2009,OCT2009,NOV2009,DEC2009,JAN2010,FEB2010,MAR2010,APR2010,MAY2010,JUN2010,JUL2010,AUG2010,SEP2010,OCT2010,NOV2010,DEC2010,JAN2011,FEB2011,MAR2011,APR2011,MAY2011,JUN2011,JUL2011,AUG2011,SEP2011,OCT2011,NOV2011,DEC2011,JAN2012,FEB2012,MAR2012,APR2012,MAY2012,JUN2012,JUL2012,AUG2012,SEP2012,OCT2012,NOV2012,DEC2012,JAN2013,FEB2013,MAR2013,APR2013,MAY2013,JUN2013,JUL2013,AUG2013,SEP2013,OCT2013,NOV2013,DEC2013,JAN2014,FEB2014,MAR2014,APR2014,MAY2014,JUN2014,JUL2014,AUG2014,SEP2014,OCT2014,NOV2014,DEC2014,JAN2015,FEB2015,MAR2015,APR2015,MAY2015,JUN2015,JUL2015,AUG2015,SEP2015,OCT2015,NOV2015,DEC2015,JAN2016,FEB2016,MAR2016,APR2016,MAY2016,JUN2016,JUL2016,AUG2016,SEP2016,OCT2016,NOV2016,DEC2016,JAN2017,FEB2017,MAR2017,APR2017,MAY2017,JUN2017,JUL2017,AUG2017,SEP2017,OCT2017,NOV2017,DEC2017,JAN2018,FEB2018,MAR2018,APR2018,MAY2018,JUN2018,JUL2018,AUG2018,SEP2018,OCT2018,NOV2018,DEC2018,JAN2019,FEB2019,MAR2019,APR2019,MAY2019
Eastern Mediterranean Route,Sea,Ethiopia,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,1,9,6,0,4,1,2,1,1,7,6,2,4,2,0,0,24,26,9,38,19,16,7,9,6,8,14,20,21,16,17,9,17,33,6,30,9,11,10,28,36,16,2,6,7,11,5,16,6,8,6,1,2,0,1,5,1,2,3,9
Eastern Mediterranean Route,Sea,Guinea,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,3,5,0,3,1,1,8,4,8,2,0,5,3,6,2,5,2,3,2,11,14,6,7,11,19,3,10,14,4,7,9,9,12,17,13,8,17,8,4,24,18,12,16,37,25,11,4,1,2,9,8
Eastern Mediterranean Route,Sea,Sudan,5,9,5,3,4,2,2,12,6,9,7,1,3,1,2,0,0,0,0,4,2,1,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,6,2,0,5,7,6,5,1,9,0,0,3,3,3,3,8,30,26,25,20,10,11,19,27,15,29,14,14,118,20,40,25,42,29,11,8,7,4,2,2,5,5,8,0,1,6,5,6,6,7,0,6,8,5,7,13,14,4,6,6,0,15,14,5,6,9,3,7,5,3,2,13,2,3,5,8
Eastern Mediterranean Route,Sea,Togo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,3,3,6,15,5,1,2,3,1,3,2,4,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,7,4,5,2,4,0,5,5,1,16,6,21,10,38,23,21,9,0,4,12,7
Eastern Mediterranean Route,Sea,Nigeria,0,0,0,0,4,0,1,2,0,0,2,0,0,8,0,1,2,1,3,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,3,2,1,0,1,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,12,0,3,18,18,24,11,15,15,53,70,85,49,77,81,57,80,71,31,27,20,13,3,13,15,17,15,27,7,16,12,19,12,4,3,2,6,11,3,8,6,2,10,5,6,4,3,4,0,3,5,9,11,11,13,5,2,1,2,7,7
Eastern Mediterranean Route,Sea,Unknown,9,1,0,0,0,0,0,0,0,0,0,0,0,1,27,26,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0,0,3,0,1,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,26,0,9,0,0,28,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,95,112,48,38,27,23,18,7,11,23,0,29,24,0,4,0,0,3,0,5,8,23,0,20,62,6
Eastern Mediterranean Route,Sea,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,0,4,1,1,5,3,3,4,1,0,1,0,0,1,3,0,4,0,6,7,2,0,7,1,0,1,0,1,0,1,2,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,5
Eastern Mediterranean Route,Sea,Senegal,0,0,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,3,0,1,0,3,1,1,0,1,0,2,1,1,1,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,7,5,1,2,18,32,49,27,1,4,0,3,2,1,1,13,6,1,2,0,2,1,0,0,1,1,3,1,6,5,1,1,1,2,0,0,2,0,0,2,4,1,9,8,4,0,3,2,1,4
Eastern Mediterranean Route,Sea,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,6,1,0,4,2,3,0,2,2,0,1,2,0,2,0,0,0,2,0,0,1,3,2,0,1,0,0,0,0,4,7,3,0,1,3,2,2,0,0,0,5,3
Eastern Mediterranean Route,Sea,Morocco,1,3,1,6,3,2,10,9,2,4,2,46,6,39,6,8,18,11,9,5,4,1,0,0,10,8,15,15,21,21,6,4,23,6,10,11,15,24,18,18,28,0,0,1,5,20,19,1,29,4,7,6,8,4,1,2,2,0,0,0,2,1,4,0,4,0,8,1,2,4,3,0,7,2,6,9,12,12,8,3,42,552,4708,2049,154,56,53,43,27,41,32,55,30,69,36,59,30,16,27,26,43,27,37,33,31,40,32,36,29,6,15,15,6,16,15,6,16,29,7,10,10,7,2,0,3
